family,family_name,size,boundary_complexity,hole_count,reflex_count,aligned_candidate_count,chord_count,candidate_output_ratio_numerator,candidate_output_ratio_denominator,selected_horizontal_cut_count,selected_vertical_cut_count,added_horizontal_cut_count,added_vertical_cut_count,reference_microseconds,indexed_microseconds,sweep_microseconds,reference_pair_iterations,indexed_pair_iterations,sweep_event_count,sweep_status_operations,sweep_output_record_count,chord_families_equal,optimum_equal,cuts_equal,rectangles_equal,three_backend_equal,reference_boundary_edge_visits,indexed_boundary_edge_visits,reference_definition7_full_boundary_scans,indexed_definition7_full_boundary_scans,sweep_aligned_pair_iterations,sweep_all_pair_iterations,sweep_definition7_fallback_checks,sweep_full_boundary_scans,sweep_duplicate_output_count,reference_completion_candidate_rebuilds,indexed_completion_candidate_rebuilds,reference_completion_cut_pair_tests,indexed_completion_cut_pair_tests,reference_completion_full_boundary_scans,indexed_completion_full_boundary_scans,reference_completion_full_cut_scans,indexed_completion_full_cut_scans,reference_arrangement_boundary_edge_visits,indexed_arrangement_boundary_edge_visits,reference_validator_rectangle_cell_tests,indexed_validator_rectangle_cell_tests,reference_prepare_owned_bytes,indexed_prepare_owned_bytes,sweep_prepare_owned_bytes,reference_owned_allocations,indexed_owned_allocations,sweep_owned_allocations,status,message
E,arrangement-heavy,4,36,0,16,8,0,8,1,0,0,16,0,249,63,66,120,8,104,104,0,true,true,true,true,true,288,0,8,0,0,0,0,0,0,18,0,0,0,16,0,16,0,0,90,0,0,8376,8376,8376,"{""polygon_arrangement"":0,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}",verified,
F,huge-coordinate,4,68,0,32,32,16,32,16,0,8,16,0,863,121,130,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
G,clean-path-tree,4,68,0,32,32,16,32,16,0,8,16,0,833,106,126,496,32,200,200,16,true,true,true,true,true,2176,0,32,0,0,0,0,0,0,18,0,1216,0,16,0,16,0,0,74,0,0,14328,14328,14328,"{""polygon_arrangement"":0,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}","{""polygon_arrangement"":1189,""polygon_prepared_context"":14328}",verified,
H,non-clean-fallback,4,20,4,16,28,3,28,3,3,0,10,0,105,45,45,120,28,72,72,3,true,true,true,true,true,560,0,28,0,0,0,0,0,0,12,0,0,0,10,0,10,0,0,20,0,0,4464,4464,4464,"{""polygon_arrangement"":0,""polygon_prepared_context"":4464}","{""polygon_arrangement"":313,""polygon_prepared_context"":4464}","{""polygon_arrangement"":313,""polygon_prepared_context"":4464}",verified,
A,boundary-heavy,8,36,0,16,8,0,8,1,0,0,16,0,264,59,66,120,8,104,104,0,true,true,true,true,true,288,0,8,0,0,0,0,0,0,18,0,0,0,16,0,16,0,0,90,0,0,8376,8376,8376,"{""polygon_arrangement"":0,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}","{""polygon_arrangement"":709,""polygon_prepared_context"":8376}",verified,
B,aligned-reflex-heavy,8,132,0,64,512,60,512,60,0,30,4,0,1389,325,328,2016,512,392,392,60,true,true,true,true,true,67584,0,512,0,0,0,0,0,0,6,0,420,0,4,0,4,0,0,70,0,0,26152,26152,26152,"{""polygon_arrangement"":0,""polygon_prepared_context"":26152}","{""polygon_arrangement"":1441,""polygon_prepared_context"":26152}","{""polygon_arrangement"":1441,""polygon_prepared_context"":26152}",verified,
C,hole-heavy,8,36,8,32,256,14,256,14,14,0,4,0,179,66,71,496,256,136,136,14,true,true,true,true,true,9216,0,256,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,22,0,0,7784,7784,7784,"{""polygon_arrangement"":0,""polygon_prepared_context"":7784}","{""polygon_arrangement"":349,""polygon_prepared_context"":7784}","{""polygon_arrangement"":349,""polygon_prepared_context"":7784}",verified,
D,completion-heavy,8,132,0,64,64,32,64,32,0,16,32,0,5269,330,332,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
E,arrangement-heavy,8,68,0,32,16,0,16,1,0,0,32,0,1343,143,155,496,16,200,200,0,true,true,true,true,true,1088,0,16,0,0,0,0,0,0,34,0,0,0,32,0,32,0,0,306,0,0,16760,16760,16760,"{""polygon_arrangement"":0,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}","{""polygon_arrangement"":2149,""polygon_prepared_context"":16760}",verified,
F,huge-coordinate,8,132,0,64,64,32,64,32,0,16,32,0,5287,283,305,2016,64,392,392,32,true,true,true,true,true,8448,0,64,0,0,0,0,0,0,34,0,8960,0,32,0,32,0,0,210,0,0,28472,28472,28472,"{""polygon_arrangement"":0,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}","{""polygon_arrangement"":3877,""polygon_prepared_context"":28472}",verified,
