schema_version,campaign,family,algorithm,solver_provenance,seed,target_size,generation_attempts,pair_id,repetition,warmup,measured,execution_order,timeout_seconds,state,outcome,exit_status,correctness,message,invalid_reason,process_wall_time_ns,process_startup_overhead_ns,size_width,size_height,size_foreground_cells_n,size_component_count,size_boundary_size_b,size_reflex_count,size_horizontal_chord_count_h,size_vertical_chord_count_v,size_q,size_explicit_conflict_edge_count_k,size_biclique_count,size_biclique_total_vertex_occurrences_sigma,size_compressed_network_node_count,size_compressed_network_arc_count,size_optimum_rectangle_count,structure_rank_sort_count,structure_rank_map_entry_count,structure_rank_map_owned_bytes,structure_matching_size,structure_vertex_cover_size,structure_c0_network_node_count,structure_c0_network_arc_count,timing_input_loading_ns,timing_instance_generation_ns,timing_geometry_preprocessing_ns,timing_chord_generation_ns,timing_embedding_ns,timing_explicit_conflict_graph_ns,timing_biclique_construction_ns,timing_network_construction_ns,timing_matching_or_flow_ns,timing_vertex_cover_recovery_ns,timing_chord_selection_ns,timing_geometric_completion_ns,timing_rectangle_recovery_ns,timing_verification_ns,timing_total_in_process_solve_ns,paired_width,paired_height,paired_foreground_cells_n,paired_component_count,paired_boundary_size_b,paired_reflex_count,paired_horizontal_chord_count_h,paired_vertical_chord_count_v,paired_q,paired_explicit_conflict_edge_count_k,paired_biclique_count,paired_biclique_total_vertex_occurrences_sigma,paired_compressed_network_node_count,paired_compressed_network_arc_count,paired_optimum_rectangle_count
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,True,False,1,60.0,success,success,0,valid,,,47149458,44084624,121,61,3721,1,242,119,59,0,59,,0,0,61,59,61,0,0,0,0,0,,,0,10292,2466500,12542,3709,,13250,3459,8875,459,250,457042,27583,58875,3064834,,,,,,,,,,,,,,,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,60,1,comb-staircase:424242:60:0,0,True,False,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 3721 exceeds oracle limit 40,,43081959,,121,61,3721,1,242,119,,,,,,,,,,,,,,,,,0,9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,True,False,3,60.0,success,success,0,valid,,,46307125,43283417,121,61,3721,1,242,119,59,0,59,0,0,0,,,61,,,,0,0,,,0,9458,2431542,11416,,2542,,,2584,958,292,471583,29125,60626,3023708,,,,,,,,,,,,,,,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,False,True,0,60.0,success,success,0,valid,,,46233166,43180875,121,61,3721,1,242,119,59,0,59,0,0,0,61,59,61,0,0,0,0,0,61,59,0,10209,2456042,11875,3583,1875,6208,3375,9500,500,166,461083,28875,56958,3052291,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,False,True,1,60.0,success,success,0,valid,,,48050208,44986958,121,61,3721,1,242,119,59,0,59,,0,0,61,59,61,0,0,0,0,0,,,0,10583,2463959,11084,4666,,10334,4041,9750,500,41,460791,27750,57875,3063250,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,60,1,comb-staircase:424242:60:0,0,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 3721 exceeds oracle limit 40,,43223334,,121,61,3721,1,242,119,,,,,,,,,,,,,,,,,0,9583,,,,,,,,,,,,,,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,60,1,comb-staircase:424242:60:0,0,False,True,3,60.0,success,success,0,valid,,,46615833,43532541,121,61,3721,1,242,119,59,0,59,0,0,0,,,61,,,,0,0,,,0,10000,2454625,11833,,2625,,,2792,1125,166,499875,31083,66500,3083292,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:1,1,False,True,0,60.0,success,success,0,valid,,,46746375,43542708,121,61,3721,1,242,119,59,0,59,0,0,0,61,59,61,0,0,0,0,0,61,59,0,10125,2594375,12292,4500,2042,5875,3500,10458,500,167,467000,27583,63375,3203667,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:1,1,False,True,1,60.0,success,success,0,valid,,,46676792,43647584,121,61,3721,1,242,119,59,0,59,,0,0,61,59,61,0,0,0,0,0,,,0,10042,2428542,11416,3709,,10625,3708,9917,500,166,461542,27792,58583,3029208,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,60,1,comb-staircase:424242:60:1,1,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 3721 exceeds oracle limit 40,,44247291,,121,61,3721,1,242,119,,,,,,,,,,,,,,,,,0,10542,,,,,,,,,,,,,,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,60,1,comb-staircase:424242:60:1,1,False,True,3,60.0,success,success,0,valid,,,47389750,44183083,121,61,3721,1,242,119,59,0,59,0,0,0,,,61,,,,0,0,,,0,10666,2464583,33125,,10792,,,5750,1500,334,580625,31792,63666,3206667,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:2,2,False,True,0,60.0,success,success,0,valid,,,46812833,43743541,121,61,3721,1,242,119,59,0,59,0,0,0,61,59,61,0,0,0,0,0,61,59,0,9916,2460166,12417,3417,2000,5042,3291,8292,292,166,467250,34125,60250,3069292,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:2,2,False,True,1,60.0,success,success,0,valid,,,46260625,43227083,121,61,3721,1,242,119,59,0,59,,0,0,61,59,61,0,0,0,0,0,,,0,10084,2441541,11250,3583,,9917,3750,9375,458,125,455042,28750,58041,3033542,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,60,1,comb-staircase:424242:60:2,2,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 3721 exceeds oracle limit 40,,44038209,,121,61,3721,1,242,119,,,,,,,,,,,,,,,,,0,9459,,,,,,,,,,,,,,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-hopcroft-karp,sg-oracle::grid::build_conflict_graph + Hopcroft-Karp + Konig cover + indexed completion,424242,60,1,comb-staircase:424242:60:2,2,False,True,3,60.0,success,success,0,valid,,,46844167,43797834,121,61,3721,1,242,119,59,0,59,0,0,0,,,61,,,,0,0,,,0,9542,2468417,11208,,2583,,,2667,875,167,458000,27417,59250,3046333,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,explicit-c0-flow,DominanceEmbedding::explicit_graph + C0 edge bicliques + explicit flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:3,3,False,True,0,60.0,success,success,0,valid,,,46296166,43271333,121,61,3721,1,242,119,59,0,59,0,0,0,61,59,61,0,0,0,0,0,61,59,0,10250,2423417,12250,3834,2125,5709,3458,9000,417,208,464750,28833,58875,3024833,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,compact-mrd,dominance::biclique::experiment::construct + compressed flow construction/execution/cover recovery + indexed completion,424242,60,1,comb-staircase:424242:60:3,3,False,True,1,60.0,success,success,0,valid,,,47183167,44005917,121,61,3721,1,242,119,59,0,59,,0,0,61,59,61,0,0,0,0,0,,,0,10750,2550917,14833,4667,,9791,3958,12708,500,208,479917,27250,59416,3177250,,,,,242,119,,,59,0,0,0,61,59,
1,paper-scaling-pilot,comb-staircase,exact-cover-oracle,exact-cover-oracle::solve (bitset branch-and-bound; predeclared cell limit),424242,60,1,comb-staircase:424242:60:3,3,False,True,2,60.0,unsupported,unsupported,0,unsupported,foreground cell count 3721 exceeds oracle limit 40,,47524084,,121,61,3721,1,242,119,,,,,,,,,,,,,,,,,0,11792,,,,,,,,,,,,,,,,,,242,119,,,59,0,0,0,61,59,
