algorithm,alpha_ols,alpha_ols_ci95,alpha_theil_sen,bootstrap_ci95,bootstrap_resamples,bootstrap_seed,claim_status,comparison,distribution_ns,excluded_sizes,failure_count,family,fit_independent_range,fit_target_size_range,geometric_mean_ratio,independent_variable,independent_variable_definition,invalid_count,median_ratio,median_ratio_by_target_size,paired_count,r_squared,ratio_distribution,record_type,residuals_log_time,sample_count,size_level_count,size_levels,stable_crossover_target_size,timeout_count,unsupported_count
explicit-hopcroft-karp,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,N,foreground_cells_n,,,,,,,fit,[],,3,,,,
explicit-hopcroft-karp,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,B,boundary_size_b,,,,,,,fit,[],,3,,,,
explicit-hopcroft-karp,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,q,q,,,,,,,fit,[],,3,,,,
explicit-hopcroft-karp,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,K,explicit_conflict_edge_count_k,,,,,,,fit,[],,3,,,,
explicit-hopcroft-karp,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,M,M = compressed network node count + compressed network arc count,,,,,,,fit,[],,3,,,,
explicit-c0-flow,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,N,foreground_cells_n,,,,,,,fit,[],,3,,,,
explicit-c0-flow,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,B,boundary_size_b,,,,,,,fit,[],,3,,,,
explicit-c0-flow,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,q,q,,,,,,,fit,[],,3,,,,
explicit-c0-flow,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,K,explicit_conflict_edge_count_k,,,,,,,fit,[],,3,,,,
explicit-c0-flow,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,M,M = compressed network node count + compressed network arc count,,,,,,,fit,[],,3,,,,
exact-cover-oracle,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,N,foreground_cells_n,,,,,,,fit,[],,3,,,,
exact-cover-oracle,,,,,10000,20260804,insufficient-size-levels-requires-6,,,"[{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4},{""reason"":""below-predeclared-fit-minimum"",""target_size"":4}]",,random-connected,"[6,10]","[6,10]",,B,boundary_size_b,,,,,,,fit,[],,3,,,,
